name,img_link,description,description_url,short_description,type
Window screen,,"A window screen is designed to cover the opening of a window. It is usually a mesh made of metal, fibreglass, plastic wire, or other pieces of plastic and stretched in a frame of wood or metal.",https://en.wikipedia.org/wiki/Window_screen,,['Thing']
Shoebill,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcQQnM4j07C_-YHzUkr6DqSmFPz9dE5Cm1MFbjoRXCTpTUyN2Xif,"The shoebill, also known as the whalebill, whale-headed stork, and shoe-billed stork is a large long-legged wading bird. It derives its name from its enormous shoe-shaped bill.",https://en.wikipedia.org/wiki/Shoebill,,['Thing']
Horseshoe,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcTsDzSS1jHzzkBtFkzFLg492Ih3KlxZ-caeIJneJv9TpUsn0bri,"A horseshoe is a product designed to protect a horse hoof from wear. Shoes are attached on the palmar surface of the hooves, usually nailed through the insensitive hoof wall that is anatomically akin to the human toenail, although much larger and thicker.",https://en.wikipedia.org/wiki/Horseshoe,,['Thing']
Puma,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcSyIMwr7UpcWv4NiHMXxrIipzSa-t6ZvJwmXnd9Mov2EkJi3vR6,"Puma SE is a German multinational corporation that designs and manufactures athletic and casual footwear, apparel, and accessories, headquartered in Herzogenaurach, Bavaria, Germany. Puma is the third largest sportswear manufacturer in the world. The company was founded in 1948 by Rudolf Dassler.",https://en.wikipedia.org/wiki/Puma_(brand),Design company,"['Organization', 'Thing', 'Corporation']"
Shoeblackplant,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTHODnqnzMPX2jmaG_LW_oAbCP1shbDUQ9LRkDZZimDXl7zoaXc,"Hibiscus rosa-sinensis, known colloquially as Chinese hibiscus, China rose, Hawaiian hibiscus, rose mallow and shoeblack plant, is a species of tropical hibiscus, a flowering plant in the Hibisceae tribe of the family Malvaceae.",https://en.wikipedia.org/wiki/Hibiscus_rosa-sinensis,Plant,['Thing']
Shoehorn,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcRLNN4CJeM29hkAytT85l71iihXIlAqYb_Y5GWQW1ZE924QIN62,A shoehorn or shoe horn is a tool with a short handle that flares into a longer spoon-like head meant to be held against the inside back of a snug-fitting shoe so that a person can slide the heel easily along its basin to the inner sole.,https://en.wikipedia.org/wiki/Shoehorn,,['Thing']
Brake shoe,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcQD3Tyg3Q-u9-pYtFpMPkpN0WKTIt7TiZAkRps7wKEM1jnSfxv4,"A brake shoe is the part of a braking system which carries the brake lining in the drum brakes used on automobiles, or the brake block in train brakes and bicycle brakes. A device that is put on a track to slow down railroad cars is also called brake shoe.",https://en.wikipedia.org/wiki/Brake_shoe,,['Thing']
Shoegaze,,"Shoegaze is a subgenre of indie and alternative rock characterized by its ethereal mixture of obscured vocals, guitar distortion and effects, feedback, and overwhelming volume.",https://en.wikipedia.org/wiki/Shoegaze,Music genre,['Thing']
High-heeled shoe,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcQ1ZgfhiQYpOxPPkoMPQgHSZ-yiICqocUlyOpvn9g8O-aM0BUuk,"High-heeled shoes, also known as high heels or pumps, are a type of shoe with an upward-angled sole. The heel in such shoes is raised above the ball of the foot.",https://en.wikipedia.org/wiki/High-heeled_shoe,,['Thing']
Shoei,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcSCnOZ3BBPz8D0zPs7EJYAP-10kO65XBBPQQ1b-w5qfwD2z0ajN,"Shoei Co., Ltd is a Japanese company that produces a line of motorsport helmets.",https://en.wikipedia.org/wiki/Shoei,Company,"['Organization', 'Thing', 'Corporation']"
Shoelaces,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcQvtHaITkNUJUB3zzs4TYDjc1S9Fml4o2ABTzCEBN9-oZ4hrbiP,"Shoelaces, also called shoestrings or bootlaces, are a system commonly used to secure shoes, boots, and other footwear. They typically consist of a pair of strings or cords, one for each shoe, finished off at both ends with stiff sections, known as aglets.",https://en.wikipedia.org/wiki/Shoelaces,,['Thing']
Shoe rack,,"A shoe rack is a furniture which is often found by the door mat in the entryway of houses, and serves a function to keep shoes organized.",https://en.wikipedia.org/wiki/Shoe_rack,,['Thing']
Red Wing Shoes,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcSvNFlUfP1fVSVytaru2viEoaGckqTMv7GkF4lmwT8xmM31ZeP8,"Red Wing Shoes is an American footwear company based in Red Wing, Minnesota that was founded by Charles H. Beckman in 1905.",https://en.wikipedia.org/wiki/Red_Wing_Shoes,Company,"['Organization', 'Thing', 'Corporation']"
Shoeshiner,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcQWD9uKYDV0xMTXxjPs2QCsgQ-8rME2iq2hlbnAn0cncBscg5vh,Shoeshiner or boot polisher is an occupation in which a person cleans and buffs shoes and then applies a waxy paste to give a shiny appearance and a protective coating.,https://en.wikipedia.org/wiki/Shoeshiner,Occupation,['Thing']
Shoe insert,,"A removable shoe insert, otherwise known as a foot orthosis, insole or inner sole accomplishes many purposes, including daily wear comfort, height enhancement, plantar fasciitis treatment, arch support, foot and joint pain relief from arthritis, overuse, injuries, leg length discrepancy, and other causes such as orthopedic correction and athletic performance.",https://en.wikipedia.org/wiki/Shoe_insert,,['Thing']
Shoemaking,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcTtfWdRATSrNRRU_2-k2fs5_tRluvHDJR8pTf7h4nlMF2eCMPya,"Shoemaking is the process of making footwear.
Originally, shoes were made one at a time by hand, often by groups of shoemakers, or cordwainers.",https://en.wikipedia.org/wiki/Shoemaking,,['Thing']
Shoemall,,"ShoeMall.com is an online shop for men’s and women’s footwear based in Chippewa Falls, Wisconsin. They are an entirely web based retailer developed in 1999 by parent company- Mason Companies.",https://en.wikipedia.org/wiki/Shoemall,Online retail company,"['Organization', 'Thing', 'Corporation']"
WSS,,"WSS, formerly known as Warehouse Shoe Sale, is a national retail chain of shoe stores headquartered in Los Angeles, California, with 92 retail outlets as of January 2020. Its parent company is Eurostar, Inc.",https://en.wikipedia.org/wiki/Warehouse_Shoe_Sale,Retail chain,"['Organization', 'Thing', 'Corporation']"
Minimalist shoe,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcSF_nQw7rlny42aD-38cjVCXOMaqlLGds1BcyJ9CRGhRM9tuIs1,Minimalist shoes are shoes intended to closely approximate barefoot running or walking conditions in comparison to traditional shoes.,https://en.wikipedia.org/wiki/Minimalist_shoe,Shoe,['Thing']
Platform shoe,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcSDymlSDVI8kJVMWuuQL1qXiMqCWAlxwzmu9uPEuYDTbnuZV4RC,"Platform shoes are shoes, boots, or sandals with a thick sole, usually in the range of 3–10 cm. Platform shoes may also be high heels, in which case the heel is raised significantly higher than the ball of the foot.",https://en.wikipedia.org/wiki/Platform_shoe,Shoe,['Thing']
Wrestling shoe,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT6NIhIoX50rZwhcwlbew2ZGw6OJB4LY5vimt3hLU5d_RCvjMpr,Wrestling shoes are active wear used in competition and practice for the sport of wrestling. They are also used in mixed martial arts and professional wrestling.,https://en.wikipedia.org/wiki/Wrestling_shoe,,['Thing']
Shirt,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcRWUSTY886SEt8EDvMMKlKE3FnsSCekU4iHcqMlXXZw65PHy6jA,"A shirt is a cloth garment for the upper body.
Originally an undergarment worn exclusively by men, it has become, in American English, a catch-all term for a broad variety of upper-body garments and undergarments.",https://en.wikipedia.org/wiki/Shirt,Garment,['Thing']
Power Rangers,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcRLJ9Ma6yYQcaXscxMx-e6742Rkr9aMUtr0sGow3K8I0xT8l7Ev,"Power Rangers is a 2017 American superhero film based on the franchise of the same name. It was directed by Dean Israelite from a screenplay by John Gatins and a story conceived by the writing teams of Matt Sazama and Burk Sharpless, and Michele and Kieran Mulroney.",https://en.wikipedia.org/wiki/Power_Rangers_(film),2017 film,"['Thing', 'Movie']"
T-shirt,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcRXKp_FjaL9jJcJJNG3BMrtNCz98jYw3bnTu_hKhtB-WnaiuXLv,"A T-shirt is a style of fabric shirt named after the T shape of its body and sleeves. Traditionally, it has short sleeves and a round neckline, known as a crew neck, which lacks a collar.",https://en.wikipedia.org/wiki/T-shirt,Clothing,"['Product', 'Thing']"
Shirtdress,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRMtNaBsDkUG0Lnyc8QYZQ9tH1hFso0YtXYDZQhxpVcKfvq952t,"A shirtdress is a style of women's dress that borrows details from a man's shirt. These can include a collar, a button front, or cuffed sleeves.",https://en.wikipedia.org/wiki/Shirtdress,Dress,['Thing']
Polo shirt,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcQTvL99VQvz1FN7TLv-0J8OKinn7Ydg3cKENrmBYuSHhHmhW1wO,"A polo shirt, tennis shirt, golf shirt, or chukker shirt is a form of shirt with a collar. Polo shirts are usually short sleeved but can be long; they were used by polo players originally in India in 1859 and in Great Britain during the 1920s.",https://en.wikipedia.org/wiki/Polo_shirt,Clothing,['Thing']
Sleeveless shirt,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcT4HXhSNJRzd8CNf0KbMuNlE_7WLCwcjnaMbNuPBDp6mY6Cs4W8,"A sleeveless shirt is a shirt that is manufactured without sleeves or with sleeves that have been cut off. Depending on the style, they can be worn as undershirts, by athletes in sports such as track and field and triathlon, or as casual wear by both men and women.",https://en.wikipedia.org/wiki/Sleeveless_shirt,Clothing,['Thing']
Dress shirt,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcTqCW8Q3ZvLZke-q81nIi2Uc4ZFEIKhLgboNH_CejW2kDezvYNv,"A dress shirt, button shirt, button-front, button-front shirt, or button-up shirt is a garment with a collar and a full-length opening at the front, which is fastened using buttons or shirt studs.",https://en.wikipedia.org/wiki/Dress_shirt,Dress,['Thing']
Shirt,,"""Shirt"" is a song by American singer-songwriter SZA and the third single from her second studio album, SOS. It was released through Top Dawg Entertainment and RCA Records on October 28, 2022, and teased two years beforehand; its previewed snippets spawned a viral dance challenge on TikTok, a video-sharing application.",https://en.wikipedia.org/wiki/Shirt_(song),Song by SZA,"['Thing', 'MusicComposition']"
Bo Burnham,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcSh2XFHLj_Hn1eYwC61MxDYPw7mynoLsn3R8iTXAxzgggzjZgWd,"Robert Pickering ""Bo"" Burnham is an American stand-up comedian, musician, YouTuber, actor, and filmmaker. Burnham's work combines elements of filmmaking with music, sketch, and stand-up comedy, often with a dramatic or tragic twist, left open to his fans for interpretation.",https://en.wikipedia.org/wiki/Bo_Burnham,American comedian and musician,"['Person', 'Thing']"
In This Shirt,,,,Song by The Irrepressibles,['Thing']
Henley shirt,,"A Henley shirt is a collarless pullover shirt, characterized by a round neckline and a placket about 3 to 5 inches long and usually having 2–5 buttons. It essentially is a collarless polo shirt.",https://en.wikipedia.org/wiki/Henley_shirt,,['Thing']
Aloha shirt,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRQ6UQakehpbyBwPMT5SC2wQ5NddXQdHGOR7etiFS8KmMKTD8Im,"The aloha shirt, also referred to as a Hawaiian shirt, is a style of dress shirt originating in Hawaii. They are collared and buttoned dress shirts, usually short-sleeved and made from printed fabric.",https://en.wikipedia.org/wiki/Aloha_shirt,Dress,['Thing']
Wet T-shirt contest,,"A wet T-shirt contest is a competition involving exhibitionism, typically featuring young women contestants at a nightclub, bar, or resort.",https://en.wikipedia.org/wiki/Wet_T-shirt_contest,,['Thing']
Rugby shirt,,"A rugby shirt, also known as a jersey or jumper, is worn by players of rugby union or rugby league. It usually has short sleeves, though long sleeves are common as well.",https://en.wikipedia.org/wiki/Rugby_shirt,Clothing,['Thing']
Heroes of the Storm,,"Heroes of the Storm is a crossover multiplayer online battle arena video game developed and published by Blizzard Entertainment. Announced at BlizzCon 2010, it was released on June 2, 2015 for macOS and Windows.",https://en.wikipedia.org/wiki/Heroes_of_the_Storm,Online game,"['SoftwareApplication', 'VideoGame', 'ProductModel', 'Thing']"
Bowling shirt,,"A bowling shirt, often referred to as a ""bowler"" or ""bowling"" shirt, is a distinctive and iconic piece of clothing closely associated with the sport of bowling.",https://en.wikipedia.org/wiki/Bowling_shirt,,['Thing']
Kariyushi shirt,,"The Kariyushi shirt is a style of dress shirt originating in Okinawa Prefecture, Japan. Similar to aloha shirts, these shirts are mainly worn in summer. The shirts are printed, mostly short-sleeved, and collared. Kariyushi shirts may be worn as casual, informal wear, or as dresswear.",https://en.wikipedia.org/wiki/Kariyushi_shirt,,['Thing']
Spreadshirt,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcRviBMdsQRyrXKD8P_1_yPJfBIsRgo2qP_Kl6DxXq6tJ-4GAdXM,"Spread Group is the umbrella brand of five internationally active e-commerce platforms with headquarters in Leipzig, Germany and Greensburg, Pennsylvania, United States.",https://en.wikipedia.org/wiki/Spread_Group,Shirt company,"['Corporation', 'Thing', 'Organization']"
National Day for Truth and Reconciliation,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcS4IpJI7zgmYP8VPdkmpg1XQTmQHtGrgKK0StMzGpR30wQnFZjc,"The National Day for Truth and Reconciliation, originally and still colloquially known as Orange Shirt Day, is a Canadian holiday to recognize the legacy of the Canadian Indian residential school system.
As of March 2023, NDTR is a statutory holiday for:",https://en.wikipedia.org/wiki/National_Day_for_Truth_and_Reconciliation,Holiday,['Thing']
Red-headed woodpecker,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQPCdzNra2nZhLelRIqnZ2jHtCn9ycvz_CE_Kk-s92DL1rHnxVq,The red-headed woodpecker is a mid-sized woodpecker found in temperate North America. Its breeding habitat is open country across southern Canada and the east-central United States.,https://en.wikipedia.org/wiki/Red-headed_woodpecker,Birds,['Thing']
Trousers,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSiO9hHyNkc-CmydooEYgk6ahNC2BBgsx22vdWRGuOW6aZsmrJb,"Trousers, slacks, or pants are an item of clothing worn from the waist to anywhere between the knees and the ankles, covering both legs separately. In the United Kingdom, the word pants generally means underwear and not trousers.",https://en.wikipedia.org/wiki/Trousers,Clothing,['Thing']
Cargo pants,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcTxhC7svo5pqLBHL7F4hLxux0cogl_oA0WCBxBXHbwCmujEixk_,"Cargo pants or cargo trousers, also sometimes called combat pants or combat trousers after their original purpose as military workwear, are loosely cut pants originally designed for rough work environments and outdoor activities, distinguished by numerous large utility pockets for carrying tools.",https://en.wikipedia.org/wiki/Cargo_pants,Clothing,['Thing']
Pantsuit,,"A pantsuit, also known as a trouser suit outside the United States, is a woman's suit of clothing consisting of pants and a matching or coordinating coat or jacket.",https://en.wikipedia.org/wiki/Pantsuit,Suit,['Thing']
Wide-leg jeans,,"Wide-leg jeans, colloquially called baggy pants, are a style of clothing that were popular from the early 1980s to the 2010s.",https://en.wikipedia.org/wiki/Wide-leg_jeans,,['Thing']
Slim-fit pants,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRU_x9Yql274GKjLoSsghEE-a_ho__QH2AQ3WQseX-BDZetCTrW,"Slim-fit pants or skinny jeans are tight trousers that have a snug fit through the legs and end in a small leg opening that can be anywhere from 9"" to 20"" in circumference, depending on size.",https://en.wikipedia.org/wiki/Slim-fit_pants,,['Thing']
Yoga pants,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRcKLyvHgIdZKulml3yLwkesHGiRz6EiWDzzwK9CDHsZomJUngh,"Yoga pants are high-denier hosiery reaching from ankle to waist, originally designed for yoga as exercise and first sold in 1998 by Lululemon, a company founded for that purpose.",https://en.wikipedia.org/wiki/Yoga_pants,,['Thing']
Low-rise pants,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcRGtHv2qtrpmpG-J61xbcYGfhTcVyvclGdM4nqN3qDHH-2b_pHQ,"Low-rise pants, also known as ""low-cut jeans"", ""lowriders"" or ""rap pants"", are a type of pants that sit low on, or below, the hips, usually at least 8 centimetres lower than the navel.",https://en.wikipedia.org/wiki/Low-rise_pants,Clothing,['Thing']
Parachute pants,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSEk45F4g6dZBpC4Sn-kWSieAN5Lre4DHo14Z3HLc-1J3UZwQiV,"Parachute pants, originally known as flight pants, are a style of trousers characterized by the use of nylon, especially ripstop nylon.",https://en.wikipedia.org/wiki/Parachute_pants,Clothing,['Thing']
Palazzo pants,,"Palazzo pants are long unisex pants cut with a loose, extremely wide leg that flares out from the waist.
Palazzo pants are popular as a summer season style, as they are loose and tend to be flattering in light, flowing fabrics that are breathable in hot weather.",https://en.wikipedia.org/wiki/Palazzo_pants,,['Thing']
Joe Pantoliano,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcRIGjNaLdN2tVRSmDIbWJdQkARp8x5asyacwyUfZvYbKSw1yJ4L,"Joseph Peter Pantoliano is an American actor who has played over 150 roles across film, television, and theater. He is best known for portraying Ralph ""Ralphie"" Cifaretto on the HBO crime drama The Sopranos, for which he won a Primetime Emmy Award for Outstanding Supporting Actor in a Drama Series, and Cypher in the sci-fi action film The Matrix.",https://en.wikipedia.org/wiki/Joe_Pantoliano,American actor,"['Person', 'Thing']"
Capri pants,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcRjwtilvnUP6dWEy8eMwu0VhNG6G1ml7j-rx9nwSijnpNdxJIfv,"Capri pants are pants that are longer than shorts, but are not as long as trousers. Capri pants can be a generic term for any cropped slim pants, and also used as a specific term to refer to pants that end on the ankle bone.",https://en.wikipedia.org/wiki/Capri_pants,Clothing,['Thing']
The Sisterhood of the Traveling Pants,,"The Sisterhood of the Traveling Pants is a 2005 American comedy-drama film directed by Ken Kwapis from a screenplay by Delia Ephron and Elizabeth Chandler, based on the 2001 novel of the same name by Ann Brashares.",https://en.wikipedia.org/wiki/The_Sisterhood_of_the_Traveling_Pants_(film),2005 film,"['Thing', 'Movie', 'TVSeries']"
Rain pants,,"Rain pants, also called rain trousers, are waterproof or water-resistant pants worn to protect the body from rain. Rain pants may be combined with a rain jacket to make a rain suit. Rain gaiters may also be used for further protection.",https://en.wikipedia.org/wiki/Rain_pants,,['Thing']
Harem pants,,"Harem pants or harem trousers are baggy, long pants caught in at the ankle. Early on, the style was also called a harem skirt. The original so-called 'harem pants/skirts' were introduced to Western fashion by designers such as Paul Poiret around 1910, although they themselves were inspired by Middle East styles, and by şalvar.",https://en.wikipedia.org/wiki/Harem_pants,,['Thing']
Hotpants,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcSMW7AexI6fSikBYqdC67fHeyLO0bxsBXXCMgjSLAC2u6awgwKZ,"Hotpants or hot pants are extremely short shorts. The term was first used by Women's Wear Daily in 1970 to describe shorts made in luxury fabrics such as velvet and satin for fashionable wear, rather than their more practical equivalents that had been worn for sports or leisure since the 1930s.",https://en.wikipedia.org/wiki/Hotpants,,['Thing']
Lou Gehrig,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTdwQW_JEz68td67p2R-mlz5YlW_UBybRpxn54nuzbmmS2-h2K1,Henry Louis Gehrig was an American professional baseball first baseman who played 17 seasons in Major League Baseball for the New York Yankees.,https://en.wikipedia.org/wiki/Lou_Gehrig,American baseball first baseman,"['Person', 'Thing']"
Tom DeLonge,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRQOZzMNoluiY_A4KatRVrFLthdmDB8UMBa0pKDrWa51WYidST4,"Thomas Matthew DeLonge is an American musician best known as the co-founder, co-lead vocalist, and guitarist of the rock band Blink-182 across three stints: 1992 to 2005, 2009 to 2015, and again since 2022.",https://en.wikipedia.org/wiki/Tom_DeLonge,American musician,"['Person', 'Thing']"
The Fancy Pants Adventures,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcSRmy5EEvzK_x9MvCzhKO-0Ck1OTyE8PKqNw_ajNNYT1QBKnz-s,"The Fancy Pants Adventures is a series of free side-scrolling Flash games created by American developer Brad Borne. Four worlds have been released so far. World 1 was released on March 14, 2006 and World 2 was released on January 9, 2008. After the 2009 Comic-Con, Borne announced he would officially start working on World 3. It was released on April 5, 2012.",https://en.wikipedia.org/wiki/The_Fancy_Pants_Adventures,Series,"['Thing', 'VideoGameSeries']"
Tactical pants,,"Tactical pants are trousers with versatile modifications intended for everyday workwear for civil defense, emergency medical technicians, fire service professionals, plainclothes law enforcement officers, security guards, intelligence agencies and military/paramilitary personnel.",https://en.wikipedia.org/wiki/Tactical_pants,,['Thing']
Training pants,,"Training pants are undergarments used by incontinent people, typically toddlers, as an aid for toilet training. They are intended to be worn in between the transition between wearing diapers but before they are ready to wear regular underpants.",https://en.wikipedia.org/wiki/Training_pants,,['Thing']
Hat,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcRr1uKTtVgpgaq4jH6WFHRhFghPVXHPXzYMDAV73c3ZOIioM6rb,"A hat is a head covering which is worn for various reasons, including protection against weather conditions, ceremonial reasons such as university graduation, religious reasons, safety, or as a fashion accessory.",https://en.wikipedia.org/wiki/Hat,Cap,['Thing']
Hatayspor,,"Hatayspor Kulübü, known as Atakaş Hatayspor due to sponsorship reasons, is a Turkish professional football club located in Antakya, Hatay Province.",https://en.wikipedia.org/wiki/Hatayspor,Football club,"['SportsTeam', 'Thing', 'Organization']"
Role,,"A role is a set of connected behaviors, rights, obligations, beliefs, and norms as conceptualized by people in a social situation.",https://en.wikipedia.org/wiki/Role,,['Thing']
Hatred,,"Hatred or hate is an intense negative emotional response towards certain people, things or ideas, usually related to opposition or revulsion toward something. Hatred is often associated with intense feelings of anger, contempt, and disgust. Hatred is sometimes seen as the opposite of love.
A number of different definitions and perspectives on hatred have been put forth.",https://en.wikipedia.org/wiki/Hatred,,['Thing']
Hatchback,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcTXB2qiJuA4sL2RoNDeCWY7CoBFLqbEikaC5LFRAr5UNPru1yzg,A hatchback is a car body configuration with a rear door that swings upward to provide access to the main interior of the car as a cargo area rather than just to a separated trunk.,https://en.wikipedia.org/wiki/Hatchback,Car body style,['Thing']
Hatshepsut,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcRtL66ZKWcRgxgbuSTSr-BSZXuh5Cv5lGO5OqQyM-zxuFVCU2AH,"Hatshepsut was the Great Royal Wife of Pharaoh Thutmose II and the fifth Pharaoh of the Eighteenth Dynasty of Egypt, ruling first as regent, then as queen regnant from c. 1479 BC until c. 1458 BC.",https://en.wikipedia.org/wiki/Hatshepsut,Pharaoh,"['Person', 'Thing']"
Hattrick,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcR3uOh8CU0eNwPjPar7ev1jKbtZP7gzZR2hWMcXBH6gig0gK-MB,Hattrick is a browser-based massively multiplayer online football management simulation video game developed in Sweden and launched on 30 August 1997.,https://en.wikipedia.org/wiki/Hattrick_(video_game),Online game,"['SoftwareApplication', 'Thing', 'VideoGame']"
Hatter,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcQGzgKJRjx7Hr6i9CQ6bWHt6lrhnrI6i26Q-WOFEcIRz_7eRFSN,"The Hatter is a fictional character in Lewis Carroll's 1865 book Alice's Adventures in Wonderland and its 1871 sequel Through the Looking-Glass. He is very often referred to as the Mad Hatter, though this term was never used by Carroll. The phrase ""mad as a hatter"" pre-dates Carroll's works.",https://en.wikipedia.org/wiki/Hatter_(Alice's_Adventures_in_Wonderland),Fictional character,['Thing']
Hathway,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcRZS_vRF7EtdEi2Wq2ZZohby4zpc_bN0iadDwo_Pty6sbxJPdLO,"Hathway Cable &amp; Datacom Ltd, formerly BITV Cable Networks, is an Indian cable television service operator based in Mumbai. It was the first company to provide Internet using the CATV network in India, and the first cable operator to launch a digital platform in 2006.",https://en.wikipedia.org/wiki/Hathway,Company,"['Corporation', 'Thing', 'Organization']"
Teri Hatcher,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQN2GzCXXdkEiuF1cClhFP88V7GxzkDujulC2dvoHPbBb7N3cyb,"Teri Hatcher is an American actress and singer best known for her portrayals of Lois Lane on the television series Lois &amp; Clark: The New Adventures of Superman, Paris Carver in the James Bond film Tomorrow Never Dies, Mel Jones and the Beldam in Coraline, and Susan Mayer on the television series Desperate Housewives, for which she won the Golden Globe Award for Best Actress in a Musical or Comedy and three Screen Actors Guild Awards, and was nominated for a Primetime Emmy Award for Outstanding Lead Actress in a Comedy Series.",https://en.wikipedia.org/wiki/Teri_Hatcher,American actress and singer,"['Person', 'Thing']"
Hatchimals,,"Hatchimals is a line of mini-figures produced by Spin Master. The flagship toys are mini-figures that feature an egg, in which you press your finger on the heart of the egg to ""hatch"" the animal/fairy inside.",https://en.wikipedia.org/wiki/Hatchimals,Doll,"['ProductModel', 'Thing']"
Monkey D. Luffy,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcSVP6Ga2L3Beccz5EEuqOF-APgK6FL1ZCoJaJzqqcmoahQowCSU,"Monkey D. Luffy, also known as ""Straw Hat"" Luffy, is a fictional character and the protagonist in the Japanese manga series One Piece created by Eiichiro Oda.",https://en.wikipedia.org/wiki/Monkey_D._Luffy,Fictional character,['Thing']
Hatsukaichi,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcTchuRB0wCkk6dBD6LFc-Dbbqh3IRcVqhDny5G-4SCBiXxw1slO,"Hatsukaichi is a city located in Hiroshima Prefecture, Japan. As of 1 May 2023, the city had an estimated population of 116,087 in 53320 households and a population density of 240 persons per km². The total area of the city is 489.48 square kilometres.",https://en.wikipedia.org/wiki/Hatsukaichi,City in Japan,"['Place', 'AdministrativeArea', 'City', 'Thing']"
Inception,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRgm0uBIQglAVDTZDYgA5prlFJQFM-YUZJjQegFpUMJaV_G61gS,"Inception is a 2010 science fiction action film written and directed by Christopher Nolan, who also produced the film with Emma Thomas, his wife.",https://en.wikipedia.org/wiki/Inception,2010 film,"['Movie', 'Thing']"
Hatchet,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRRo3PMMBIjrS4XCRuoOHzfezQ1dGYN6JHuei0Jz2uEzYFFhmJX,"A hatchet is a single-handed striking tool with a sharp blade on one side used to cut and split wood, and a hammerhead on the other side.",https://en.wikipedia.org/wiki/Hatchet,,['Thing']
Hatikvah,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcSRJEolSuDFEw2J7LB8HUwa7xu0EtjuEmzx54Ox-YHRbE_JhiFW,"Hatikvah is the national anthem of the State of Israel. Part of 19th-century Jewish poetry, the theme of the Romantic composition reflects the 2,000-year-old desire of the Jewish people to return to the Land of Israel in order to reclaim it as a free and sovereign nation-state.",https://en.wikipedia.org/wiki/Hatikvah,National anthem,"['MusicComposition', 'Thing']"
Hatagaya,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcR10xdfpPWfPU1tid9TpHqta-CBjJ8EFFU2xz2rXMVyR5NuhWQz,"Hatagaya is an area within Shibuya, Tokyo, Japan.","https://en.wikipedia.org/wiki/Hatagaya,_Shibuya",,"['Place', 'Thing']"
