name,img_link,description,description_url,short_description,type
Gingerbread house,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcSftMbW6ZYYT2MSEhz5KEE2hdaMgk5eocBqBibV6A99mrX2d_Vu,"A gingerbread house is a novelty confectionery shaped like a building that is made of cookie dough, cut and baked into appropriate components like walls and roofing. The usual base material is crisp gingerbread, hence the name.",https://en.wikipedia.org/wiki/Gingerbread_house,,['Thing']
House,,Most horoscopic traditions of astrology systems divide the horoscope into a number of houses whose positions depend on time and location rather than on date. In Hindu astrological tradition these are known as Bhāvas.,https://en.wikipedia.org/wiki/House_(astrology),,['Thing']
The Fall of the House of Usher,,"The Fall of the House of Usher is an American gothic horror drama television miniseries created by Mike Flanagan. All eight episodes were released on Netflix on October 12, 2023, each directed by either Flanagan or Michael Fimognari, with the latter also acting as cinematographer for the entire series.",https://en.wikipedia.org/wiki/The_Fall_of_the_House_of_Usher_(miniseries),Drama miniseries,"['TVSeries', 'Thing']"
Car,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcSnzevgzm4MyKJfIEoe06AyGN5Bh34cVF-5F8bJW6Y-66NLdaYw,"A car, or an automobile, is a motor vehicle with wheels. Most definitions of cars state that they run primarily on roads, seat one to eight people, have four wheels, and mainly transport people, not cargo.",https://en.wikipedia.org/wiki/Car,Mode of transport,['Thing']
Cartoon,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcRDvj5SsAohzdWzqu4H9a5GMyEHz92uF5xMxm_HgH65BeNi4fIe,"A cartoon is a type of visual art that is typically drawn, frequently animated, in an unrealistic or semi-realistic style. The specific meaning has evolved, but the modern usage usually refers to either: an image or series of images intended for satire, caricature, or humor; or a motion picture that relies on a sequence of illustrations for its animation.",https://en.wikipedia.org/wiki/Cartoon,Visual art type,['Thing']
Carolina Panthers,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcRSZ4AMVJsaZu9WKyEZrRYmXmE36VWQsK69fv0Hlz-Roj1sKoIU,"The Carolina Panthers are a professional American football team based in Charlotte, North Carolina. The Panthers compete in the National Football League, as a member club of the league's National Football Conference South division.",https://en.wikipedia.org/wiki/Carolina_Panthers,American football team,"['SportsTeam', 'Thing']"
Carhartt,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSV6BYyXBRuOVuI8AObHF9S-cUfleVjXCLdSsafkyDUkDlYtGAi,"Carhartt, Inc. is an American apparel company founded in 1889, known for heavy-duty work wear such as jackets, coats, overalls, coveralls, vests, shirts, jeans, dungarees, fire-resistant clothing and hunting apparel.",https://en.wikipedia.org/wiki/Carhartt,Work wear company,"['Organization', 'Thing', 'Corporation']"
Carrefour,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRLe2JJMpej6Xr9aCjJI0c-QiVGMbd9kR73NOiWFyjam1bVvvn6,"Carrefour is a French multinational retail and wholesaling corporation headquartered in Massy, France. The seventh-largest retailer in the world by revenue, it operates a chain of hypermarkets, groceries stores and convenience stores, which as of December 2021, comprises 13,894 stores in over 30 countries.",https://en.wikipedia.org/wiki/Carrefour,Retail company,"['LocalBusiness', 'Corporation', 'Organization', 'Thing']"
Electric car,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcS5ct0Fvkj3MhBL0PygmNbnpu5NcfGAPbFkU75whVOuK6D-9mHd,"Tesla Model 3
Nissan Leaf
Hyundai Ioniq 5
BMW i3
BYD Tang EV
An electric car or electric vehicle is a passenger automobile that is propelled by an electric traction motor, using only energy stored in on-board batteries.",https://en.wikipedia.org/wiki/Electric_car,Automotive class,['Thing']
Carolina Hurricanes,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcTBBJPXMqkt2PxWceP-eXgpkCUZQ7LAqDeTiRSFkQq8e_2alDYY,"The Carolina Hurricanes are a professional ice hockey team based in Raleigh, North Carolina. They compete in the National Hockey League as part of the Metropolitan Division in the Eastern Conference, and play their home games at PNC Arena.",https://en.wikipedia.org/wiki/Carolina_Hurricanes,Ice hockey team,"['SportsTeam', 'Thing', 'Organization']"
Carpet,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcRH8kEvi6smt9jLrJmhRsmQxPKRKNbzYRyyP9BPsdCtJzHLa0CD,"A carpet is a textile floor covering typically consisting of an upper layer of pile attached to a backing. The pile was traditionally made from wool, but since the 20th century synthetic fibers such as polypropylene, nylon, or polyester have often been used, as these fibers are less expensive than wool.",https://en.wikipedia.org/wiki/Carpet,,['Thing']
Carbonara,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQSoxgVffMBEADE-iLcdqFMyhXBESoBSP4SpySlgHHixeeDN5gq,"Carbonara is a pasta dish made with eggs, hard cheese, fatty cured pork, and black pepper. The dish took its modern form and name in the middle of the 20th century.
The cheese is usually pecorino romano. Some variations use Parmesan, Grana Padano, or a combination of cheeses. Spaghetti is the most common pasta, but rigatoni or bucatini are also used.",https://en.wikipedia.org/wiki/Carbonara,Pasta dish,['Thing']
Cartier,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcRBnWnSMVZLaLmdzeNYkNSR98od368t-QR_vIC6QIJ5JjllQQej,"Cartier International SNC, or simply Cartier, is a French luxury-goods conglomerate that designs, manufactures, distributes, and sells jewellery, leather goods, and watches.",https://en.wikipedia.org/wiki/Cartier_(jeweler),Conglomerate,"['Organization', 'Thing', 'Corporation']"
Carbohydrate,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcTcZSKeAtEvQgaTusGrVN9xMxBplPx8PheGWWVe--5yEbNDhD3P,"A carbohydrate is a biomolecule consisting of carbon, hydrogen and oxygen atoms, usually with a hydrogen–oxygen atom ratio of 2:1 and thus with the empirical formula Cₘₙ, which does not mean the H has covalent bonds with O.",https://en.wikipedia.org/wiki/Carbohydrate,,['Thing']
CarPlay,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcSno2Si0yt_kR9f-ZXh-hRqBg0R30OgtgCGZzQ58GG2CyA4N8L4,"CarPlay, or Apple CarPlay is an Apple standard that enables a car radio or head unit to be a display and controller for an iOS device. It is available on iPhone 5 and later models running iOS 7.1 or later.
More than 800 car models come with support for CarPlay, according to Apple. Vehicle owners can add support by installing certain aftermarket vehicle audio products.",https://en.wikipedia.org/wiki/CarPlay,,"['SoftwareApplication', 'Thing']"
Career,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQzS4XYspXVwLIM9mt-ga6RFLcDUq0Q2nV7jtnPhbetpFJq8MIH,"The career is an individual's metaphorical ""journey"" through learning, work and other aspects of life. There are a number of ways to define career and the term is used in a variety of ways.",https://en.wikipedia.org/wiki/Career,,['Thing']
Carnival,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcRkOxnJjIvv_2iSe6DVF4vbyVUBcJrn-HJns1qX6GQutXS47m7U,"Carnival or Shrovetide is a Christian festive season that occurs before Lent, consisting of Quinquagesima or Shrove Sunday, Shrove Monday, and Shrove Tuesday or Mardi Gras.",https://en.wikipedia.org/wiki/Carnival,Festivity,['Thing']
Carnival Cruise Line,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcSYaWOa2DUrYYLinb0PtBvbn4Hv7viC0JhM418TtPbO1Dml7Qr6,"Carnival Cruise Line is an international cruise line with headquarters in Doral, Florida. The company is a subsidiary of Carnival Corporation &amp; plc. Its logo is a funnel shaped like a whale's tail, with a red, white, and blue color scheme. This trademark funnel design is built onto the line's ships. Carnival is ranked first on the list of largest cruise lines based on passengers carried annually.
As of December 2023, Carnival Cruise Line operates a fleet of 26 ships.",https://en.wikipedia.org/wiki/Carnival_Cruise_Line,Company,"['Organization', 'Thing', 'Corporation']"
Caribbean,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcRFky0vliut9mYkYNYd4sPOfJ-GaDksjqek1JbA1A3PNd0E5bBe,"The Caribbean or West Indies is a subregion of the Americas that includes the Caribbean Sea and its islands, some of which are surrounded by the Caribbean Sea and some of which border both the Caribbean Sea and the North Atlantic Ocean; the nearby coastal areas on the mainland are often also included in the region.",https://en.wikipedia.org/wiki/Caribbean,Region,"['AdministrativeArea', 'Thing', 'Place']"
